IoT_0.EarthFixed.X IoT_0.EarthFixed.Y IoT_0.EarthFixed.Z IoT_1.EarthFixed.X IoT_1.EarthFixed.Y IoT_1.EarthFixed.Z IoT_2.EarthFixed.X IoT_2.EarthFixed.Y IoT_2.EarthFixed.Z IoT_3.EarthFixed.X IoT_3.EarthFixed.Y IoT_3.EarthFixed.Z IoT_4.EarthFixed.X IoT_4.EarthFixed.Y IoT_4.EarthFixed.Z IoT_5.EarthFixed.X IoT_5.EarthFixed.Y IoT_5.EarthFixed.Z IoT_6.EarthFixed.X IoT_6.EarthFixed.Y IoT_6.EarthFixed.Z IoT_7.EarthFixed.X IoT_7.EarthFixed.Y IoT_7.EarthFixed.Z IoT_8.EarthFixed.X IoT_8.EarthFixed.Y IoT_8.EarthFixed.Z IoT_9.EarthFixed.X IoT_9.EarthFixed.Y IoT_9.EarthFixed.Z
-29.3242207774505 -49.48140882133231 6377.876946259982 -571.7108994062648 -28.11336179193101 6352.399463806297 4880.132410558524 -3978.777492597133 1016.985733034846 -253.4856029602423 566.9103999089609 6347.832725343717 3590.979931604262 -4194.569918084844 3192.345375189039 -64.65341222537262 667.7254807257501 6342.758491386447 -1353.263415389321 -196.0667550974991 6229.836162973474 440.2114005305853 -202.7604642187703 6359.69533691437 3311.046595145122 -986.4366485784082 5361.393088041296 4975.937152315116 -997.460769983098 3863.385061048479
-29.32422077745085 -49.48140882133227 6377.876946259981 -571.7108994062648 -28.113361791931 6352.399463806297 4880.132410558519 -3978.777492597133 1016.985733034846 -253.4856029602424 566.9103999089608 6347.832725343716 3590.979931604259 -4194.569918084843 3192.345375189039 -64.6534122253729 667.72548072575 6342.758491386447 -1353.26341538932 -196.0667550974991 6229.836162973475 440.2114005305845 -202.7604642187702 6359.69533691437 3311.046595145119 -986.4366485784077 5361.393088041296 4975.93715231511 -997.4607699830975 3863.385061048479
-29.3242207774502 -49.48140882133233 6377.876946259982 -571.7108994062648 -28.11336179193104 6352.399463806299 4880.132410558524 -3978.777492597135 1016.985733034847 -253.485602960242 566.910399908961 6347.832725343717 3590.979931604263 -4194.569918084845 3192.34537518904 -64.65341222537234 667.7254807257502 6342.758491386448 -1353.263415389321 -196.0667550974992 6229.836162973474 440.2114005305856 -202.7604642187703 6359.695336914372 3311.046595145123 -986.4366485784084 5361.393088041297 4975.937152315116 -997.4607699830984 3863.38506104848
-29.32422077745091 -49.48140882133225 6377.876946259983 -571.7108994062651 -28.11336179193099 6352.3994638063 4880.132410558522 -3978.777492597131 1016.985733034846 -253.4856029602427 566.9103999089606 6347.832725343718 3590.979931604261 -4194.569918084842 3192.34537518904 -64.65341222537302 667.7254807257498 6342.758491386448 -1353.263415389322 -196.066755097499 6229.836162973475 440.2114005305846 -202.7604642187702 6359.695336914372 3311.046595145121 -986.4366485784075 5361.393088041298 4975.937152315113 -997.4607699830973 3863.385061048479
-29.32422077745094 -49.48140882133227 6377.876946259982 -571.7108994062655 -28.11336179193095 6352.399463806299 4880.132410558523 -3978.777492597133 1016.985733034846 -253.4856029602428 566.9103999089607 6347.832725343717 3590.979931604263 -4194.569918084844 3192.345375189039 -64.65341222537309 667.72548072575 6342.758491386447 -1353.263415389322 -196.066755097499 6229.836162973475 440.2114005305849 -202.7604642187703 6359.695336914371 3311.046595145122 -986.4366485784082 5361.393088041297 4975.937152315116 -997.460769983098 3863.385061048479
-29.32422077745025 -49.48140882133234 6377.876946259982 -571.7108994062646 -28.11336179193105 6352.399463806298 4880.132410558523 -3978.777492597133 1016.985733034847 -253.485602960242 566.9103999089606 6347.832725343718 3590.979931604262 -4194.569918084843 3192.34537518904 -64.65341222537236 667.72548072575 6342.758491386448 -1353.263415389321 -196.0667550974991 6229.836162973475 440.2114005305854 -202.7604642187703 6359.695336914372 3311.046595145121 -986.4366485784079 5361.393088041297 4975.937152315114 -997.4607699830977 3863.38506104848
-29.32422077745025 -49.48140882133231 6377.87694625998 -571.7108994062646 -28.11336179193103 6352.399463806296 4880.132410558522 -3978.777492597132 1016.985733034846 -253.485602960242 566.9103999089606 6347.832725343715 3590.979931604262 -4194.569918084842 3192.345375189038 -64.65341222537236 667.7254807257499 6342.758491386445 -1353.263415389321 -196.0667550974991 6229.836162973472 440.2114005305854 -202.7604642187702 6359.695336914368 3311.046595145122 -986.4366485784078 5361.393088041295 4975.937152315113 -997.4607699830975 3863.385061048478
-29.32422077745028 -49.48140882133234 6377.876946259982 -571.7108994062648 -28.11336179193106 6352.399463806297 4880.132410558524 -3978.777492597133 1016.985733034847 -253.4856029602421 566.9103999089609 6347.832725343716 3590.979931604263 -4194.569918084844 3192.345375189039 -64.65341222537239 667.7254807257502 6342.758491386447 -1353.263415389321 -196.0667550974992 6229.836162973474 440.2114005305855 -202.7604642187704 6359.69533691437 3311.046595145123 -986.4366485784084 5361.393088041296 4975.937152315116 -997.4607699830981 3863.385061048479
-29.32422077745028 -49.48140882133233 6377.87694625998 -571.7108994062646 -28.11336179193104 6352.399463806296 4880.132410558523 -3978.777492597132 1016.985733034846 -253.485602960242 566.9103999089606 6347.832725343716 3590.979931604261 -4194.569918084843 3192.345375189038 -64.65341222537236 667.72548072575 6342.758491386446 -1353.263415389321 -196.0667550974991 6229.836162973473 440.2114005305853 -202.7604642187703 6359.695336914369 3311.046595145121 -986.4366485784078 5361.393088041295 4975.937152315114 -997.4607699830977 3863.385061048478
-29.32422077745098 -49.48140882133224 6377.876946259981 -571.7108994062653 -28.11336179193095 6352.399463806298 4880.132410558522 -3978.777492597132 1016.985733034846 -253.4856029602427 566.9103999089608 6347.832725343717 3590.979931604261 -4194.569918084844 3192.345375189039 -64.65341222537309 667.72548072575 6342.758491386448 -1353.263415389322 -196.0667550974989 6229.836162973475 440.2114005305847 -202.7604642187702 6359.69533691437 3311.046595145121 -986.4366485784078 5361.393088041296 4975.937152315114 -997.4607699830975 3863.385061048479
-29.32422077745028 -49.48140882133234 6377.876946259981 -571.7108994062646 -28.11336179193106 6352.399463806295 4880.132410558522 -3978.777492597132 1016.985733034846 -253.485602960242 566.9103999089607 6347.832725343716 3590.979931604262 -4194.569918084843 3192.345375189039 -64.65341222537239 667.7254807257499 6342.758491386446 -1353.26341538932 -196.0667550974991 6229.836162973473 440.2114005305853 -202.7604642187703 6359.695336914369 3311.04659514512 -986.4366485784077 5361.393088041296 4975.937152315113 -997.4607699830976 3863.385061048478
-29.32422077745064 -49.48140882133229 6377.876946259981 -571.7108994062653 -28.11336179193101 6352.399463806296 4880.132410558522 -3978.777492597133 1016.985733034846 -253.4856029602425 566.9103999089608 6347.832725343716 3590.979931604263 -4194.569918084844 3192.345375189039 -64.65341222537273 667.7254807257502 6342.758491386447 -1353.263415389322 -196.0667550974992 6229.836162973474 440.211400530585 -202.7604642187702 6359.695336914369 3311.046595145122 -986.436648578408 5361.393088041296 4975.937152315115 -997.4607699830979 3863.385061048479
